"Marketing Channel","Unique Visitors","Buyer / Visitor","Sales","Bounce Rate","New Visitor %"
Total,192778,6.08%,$15651624.53,30.73%,91.24%
rah_Ariel33,17262,9.28%,$1493952.28,0.09%,53.37%
DMO5997_20140829050412,9041,9.37%,$711669.57,0.13%,51.18%
automation test channel,2265,9.45%,$183079.56,0.09%,49.67%
PawanTest,-,-,-,-,-
test1,-,-,-,-,-
All Other MMC Vendors,55731,9.35%,$4848539.27,0.13%,54.07%
Natural Search Activity,26752,8.81%,$2542312.99,0.06%,59.38%
Referring Sites Activity,125032,5.99%,$5185928.25,59.65%,88.60%
Direct Load Activity,8151,9.14%,$686142.61,3.36%,50.58%
